id,examCode,questionNumber,points,type,mode,category,difficulty,needsVisualContext,prompt,answer,correctOptions
p231-1-01,P231,1,1,short_answer,kratki_odgovor,programiranje_algoritmi,osnovno,False,"Ob pogledu na zaslon lahko vidimo tri barve, ki sestavljajo posamezno slikovno točko (angl. pixel) / za prikaz. Kateri barvni model je običajno uporabljen pri prikazovanju slike na zaslonu? Odgovor / napišite na črto.",RGB,
p231-1-02,P231,2,1,short_answer,kratki_odgovor,strojna_oprema_os,osnovno,False,"Računalnik je v omrežje priključen na 230 V izmenične omrežne napetosti. Katero vrsto napetosti / različnih vrednosti (+3,3 V, +5 V, +12 V, ...) potrebujejo računalniške komponente za svoje / delovanje? Odgovor napišite na črto.",Računalniške komponente potrebujejo / enosmerno napetost.,
p231-1-03,P231,3,1,multiple_choice_single,kviz,pretvorbe_enote_racunanje,osnovno,False,"Izračunajte vsoto dveh števil, in sicer 11110011[2] + 0×AB[16]. Obkrožite črko pred pravilnim / odgovorom.",B,B
p231-1-04,P231,4,1,multiple_choice_single,kviz,splosno_racunalnistvo,osnovno,True,"Če vemo, da vrednost 01000001 glede na kodno tabelo predstavlja črko A, kaj predstavlja / prikazani vzorec danih vrednosti? Obkrožite črko pred pravilnim odgovorom. / 01000011 01000010 01000001",D,D
p231-1-05,P231,5,1,multiple_choice_single,kviz,pretvorbe_enote_racunanje,osnovno,False,Podano imamo hitrost prenosa 8 Mb/s. Prenos datoteke je trajal 2 min 53 s. Kako veliko datoteko / prenašamo? Obkrožite črko pred pravilnim odgovorom.,B,B
p231-1-06,P231,6,1,multiple_choice_single,kviz,splosno_racunalnistvo,osnovno,False,Polde je v računalnik na priključek vrste M.2 dodal novo napravo. Katere vrste napravo je dodal v / računalnik? Obkrožite črko pred pravilnim odgovorom.,A,A
p231-1-07,P231,7,1,multiple_choice_single,kviz,pretvorbe_enote_racunanje,osnovno,False,"Imamo računalnik, ki v celoti podpira 64-bitno arhitekturo. Vaša stranka nanj namesti 32-bitni / OS Windows 10 PRO. Čeprav je vgradila 16 GB delovnega pomnilnika (RAM), vidi zgolj 4 GB / delovnega pomnilnika. Kaj bi bil lahko glavni razlog za to? Obkrožite črko pred pravilnim / odgovorom.",C,C
p231-1-08,P231,8,1,multiple_choice_single,kviz,strojna_oprema_os,osnovno,False,"Procesor računalnika (CPE) obdeluje različne vrste ukazov. Katera izmed danih kratic predstavlja / nabor kompleksnejših ukazov glede na način naslavljanja operandov, sorodnih značilnosti in / kompleksnost nabora ukazov? Obkrožite črko pred pravilnim odgovorom.",D,D
p231-1-09,P231,9,1,multiple_choice_single,kviz,omrezja,osnovno,False,V katerem izmed danih primerov bi uporabili omrežni usmerjevalnik? Obkrožite črko pred / pravilnim odgovorom.,C,C
p231-1-10,P231,10,1,multiple_choice_single,kviz,omrezja,osnovno,False,"Katera programska vrata (angl. port) moramo zapreti na požarnem zidu, če želimo onemogočiti / pošiljanje e-pošte po protokolu smtp? Obkrožite črko pred pravilnim odgovorom.",B,B
p231-1-11,P231,11,2,multiple_choice_multi,kviz,splosno_racunalnistvo,srednje,False,Katera izmed naštetih naslovov sta zasebna naslova IP? Obkrožite črki pred pravilnima / odgovoroma.,A /  E,"A,E"
p231-1-12,P231,12,1,multiple_choice_single,kviz,podatkovne_baze_sql,osnovno,False,"Ko se konča faza logičnega načrtovanja, je treba oceniti kakovost logičnega modela. Kako se / imenuje postopek, ki sledi in pomaga pri doseganju boljše kakovosti načrta podatkovne baze? / Obkrožite črko pred pravilnim odgovorom.",B,B
p231-1-13,P231,13,1,multiple_choice_single,kviz,podatkovne_baze_sql,osnovno,False,Stavke SQL delimo v več skupin. V katero skupino uvrščamo stavek DROP? Obkrožite črko pred / pravilnim odgovorom.,D,D
p231-1-14,P231,14,2,sql_open,sql_vaja,podatkovne_baze_sql,srednje,False,"Pri kreiranju tabele s stavkom SQL bi želeli, da je vrednost stolpca ID samoštevilo, stolpec Ime pa / ne sme vključevati prazne vrednosti. Kaj moramo dodati/spremeniti v spodnjem stavku SQL, da / to dosežemo? / CREATE TABLE Dijak / (ID integer _____, / Ime varchar (30) _____, / Priimek varchar (30) / );",auto_increment /  not null,
p231-1-15,P231,15,1,multiple_choice_single,kviz,html_css,osnovno,False,"Obkrožite črko pred odgovorom, ki prek kode v jeziku CSS pri vseh odstavkih (<p>) določi modro / barvo ozadja.",C,C
p231-1-16,P231,16,2,html_css_open,html_css_vaja,html_css,srednje,True,"V dokument HTML želimo vstaviti sliko slika.png, ki je v mapi, v kateri je dokument HTML. Sliki / želimo nastaviti širino 200 px in nastaviti besedilo »Tukaj je slika«, ki se bo pokazalo, ko bo / kazalec miške na sliki. Dopolnite spodnjo kodo. / <_____ src='slika.png' width='200px' _____>","img /  title=""Tukaj je slika""",
p231-1-17,P231,17,1,multiple_choice_single,kviz,programiranje_algoritmi,osnovno,False,Kolikokrat se v splošnem izvede zanka do while? Obkrožite črko pred pravilnim odgovorom.,B,B
p231-1-18,P231,18,2,calculation,racunska_naloga,programiranje_algoritmi,srednje,True,"Spodnjo kodo pretvorite v enakovredno zanko while. Podprogram izpis (...) izpiše na standardni / izhod vrednost vhodne spremenljivke. / Obkrožite izbrani programski/skriptni jezik: / C, C++, C#, Java, Python, PHP / C, C#, C++, Java / PHP / Python / for(int i=15;i>5;i-=2) / { / izpis(i); / } / for($i=15;$i>5;$i-=2) / { / izpis($i); / } / for i in range(15,5,-2): / izpis(i)",int i=15; / while(i>5) / { / izpis(i); / i=i-2; / },
p232-1-01,P232,1,1,short_answer,kratki_odgovor,programiranje_algoritmi,osnovno,False,Stranka bi rada tiskala fotografije z brizgalnim tiskalnikom. Kateri barvni model se uporablja pri / tiskanju? Odgovor zapišite na črto.,CMY oz. CMYK,
p232-1-02,P232,2,1,short_answer,kratki_odgovor,splosno_racunalnistvo,osnovno,False,"Kako bi s strokovnim terminom skupaj poimenovali oz. zapisali funkcionalnost operacijskega / sistema ReFS, UFS2 in ext4? Odgovor zapišite na črto.",datotečni sistemi / Upoštevamo tudi angleški izraz / »File System«.,
p232-1-03,P232,3,1,multiple_choice_single,kviz,splosno_racunalnistvo,osnovno,False,Kaj predstavlja pojem ostranjevalne datoteke (angl. pagefile)? Obkrožite črko pred pravilnim / odgovorom.,C,C
p232-1-04,P232,4,1,multiple_choice_single,kviz,strojna_oprema_os,osnovno,False,Na voljo imamo različne vrste pomnilnikov. Vsebine katerega izmed naštetih pomnilnikov ni / mogoče spreminjati? Obkrožite črko pred pravilnim odgovorom.,B,B
p232-1-05,P232,5,1,multiple_choice_single,kviz,strojna_oprema_os,osnovno,False,Na katerem izmed naštetih pomnilnih medijev bi lahko izvedli postopek defragmentacije? / Obkrožite črko pred pravilnim odgovorom.,D,D
p232-1-06,P232,6,1,multiple_choice_single,kviz,splosno_racunalnistvo,osnovno,False,Katero izmed naštetih naprav bi lahko še vedno našli na priključku vrste PS/2? Obkrožite črko / pred pravilnim odgovorom.,A,A
p232-1-07,P232,7,1,multiple_choice_single,kviz,strojna_oprema_os,osnovno,False,Na računalniku želimo vzpostaviti diskovno polje (angl. RAID). Vgradili smo tri trde diske / kapacitete 1 TB. Stranka želi hitrejše branje in pisanje podatkov ter hkrati večjo zanesljivost ob / odpovedi katerega izmed diskov. Katero polje RAID bo najbolje zadostilo zahtevam stranke? / Obkrožite črko pred pravilnim odgovorom.,C,C
p232-1-08,P232,8,1,multiple_choice_single,kviz,strojna_oprema_os,osnovno,False,"Procesor računalnika (CPE) obdeluje različne vrste ukazov. Katera izmed spodnjih kratic pomeni / nabor enostavnejših ukazov glede na način naslavljanja operandov, sorodne značilnosti in / kompleksnost nabora ukazov? Obkrožite črko pred pravilnim odgovorom.",A,A
p232-1-09,P232,9,1,multiple_choice_single,kviz,splosno_racunalnistvo,osnovno,False,Kateri je ustrezen desetiški zapis omrežne pripone /28? Obkrožite črko pred pravilnim odgovorom.,D,D
p232-1-10,P232,10,1,multiple_choice_single,kviz,html_css,osnovno,False,"Na požarnem zidu je pravilo, da ne prepušča prometa spletnih strani. V kateri plasti modela OSI / se izvaja to pravilo? Obkrožite črko pred pravilnim odgovorom.",C,C
p232-1-11,P232,11,2,multiple_choice_multi,kviz,omrezja,srednje,False,"Obkrožite črki pred protokolom aplikacijske plasti in protokolom transportne plasti, ki sta / uporabljena pri pošiljanju elektronske pošte od odjemalca na strežnik.",B /  D,"B,D"
p232-1-12,P232,12,1,sql_open,sql_vaja,podatkovne_baze_sql,srednje,False,"Zapišite ukaz SQL, ki izbriše tabelo Novatabela.",DROP TABLE Novatabela,
p232-1-13,P232,13,1,multiple_choice_single,kviz,podatkovne_baze_sql,osnovno,False,Stavke SQL delimo v več skupin. V katero skupino uvrščamo stavek ALTER TABLE? Obkrožite / črko pred pravilnim odgovorom.,B,B
